name,place,source,person
Catholic Cemetery of Presentation Church and Saint,"US, NE, Bellwood",findagrave/1001,_subject
Boone Memorial Park,"US, WV, Madison",findagrave/1002,_subject
Farragut Cemetery,"US, IA, Farragut",findagrave/1003,_subject
Vaiden Cemetery,"US, MS, Vaiden",findagrave/1004,_subject
Beech Grove Cemetery,"US, IN, Muncie",findagrave/1005,_subject
Oakwood Cemetery,"US, TX, Corsicana",findagrave/1006,_subject
Woodland Cemetery,"US, CA, Woodland",findagrave/1007,_subject
Westwood Cemetery,"US, OH, Woodville",findagrave/1008,_subject
Belmont Memorial Park,"US, CA, Fresno",findagrave/1009,_subject
Gate of Heaven Cemetery,"US, OH, Montgomery",findagrave/1010,_subject
Harman Cemetery,"US, OH, Gilboa",findagrave/1011,_subject
Carselowey Cemetery,"US, OK, Ketchum",findagrave/1012,_subject
Dallas-Fort Worth National Cemetery,"US, TX, Dallas",findagrave/1013,_subject
Park Cemetery,"US, KS, Columbus",findagrave/1014,_subject
Forest Lawn Memorial Gardens,"US, TN, Goodlettsville",findagrave/1016,_subject
Restwood Cemetery,"US, WV, Hinton",findagrave/1017,_subject
Floral Haven Memorial Gardens,"US, OK, Broken Arrow",findagrave/1018,_subject
Floral Haven Memorial Gardens,"US, OK, Broken Arrow",findagrave/1019,_subject
Bethany Cemetery,"US, SC, Charleston",findagrave/1020,_subject
East View Cemetery,"US, SC, Edgefield",findagrave/1021,_subject
Salisbury National Cemetery,"US, NC, Salisbury",findagrave/1022,_subject
Cremated,,findagrave/1023,_subject
Rose Hill Memorial Park,"US, OK, Tulsa",findagrave/1024,_subject
Mount Olivet Cemetery,"US, TN, Nashville",findagrave/1025,_subject
Green Mound Cemetery,"US, MO, Harwood",findagrave/1026,_subject
Sunset Memorial Park,"US, NM, Albuquerque",findagrave/1027,_subject
Calvary Cemetery,"US, PA, Clearfield",findagrave/1028,_subject
Shiloh Reformed Church Cemetery,"US, NC, Faith",findagrave/1029,_subject
Duplex Cemetery,"US, TX, Ivanhoe",findagrave/1030,_subject
Aisne-Marne American Cemetery and Memorial,"FR, Picardie, Belleau",findagrave/1031,_subject
Forest Lawn Memorial Park,"US, CA, Cypress",findagrave/1032,_subject
Golden Gate National Cemetery,"US, CA, San Bruno",findagrave/1033,_subject
Mars Hill Cemetery,"US, NC, Mars Hill",findagrave/1034,_subject
Eastlawn Gardens of Memory,"US, NC, Kernersville",findagrave/1035,_subject
Prairie View Cemetery,"US, IA, Gilman",findagrave/1036,_subject
Lamesa Memorial Park,"US, TX, Lamesa",findagrave/1037,_subject
St. Michael’s Cemetery,"US, CT, Stratford",findagrave/1038,_subject
Crown Hill Cemetery,"US, IN, Indianapolis",findagrave/1039,_subject
Weston Masonic Cemetery,"US, WV, Weston",findagrave/1040,_subject
Sts. Peter & Paul Catholic Cemetery (old),"US, MO, St. Louis",findagrave/1042,_subject
St. Mary’s Cemetery,"US, NY, Fremont",findagrave/1043,_subject
St. Joseph New Cemetery,"US, OH, Cincinnati",findagrave/1044,_subject
St. Mary Cemetery,"US, CT, New Britain",findagrave/1045,_subject
St. Mary’s Byzantine Catholic Cemetery,"US, PA, Freeland",findagrave/1046,_subject
Sunset Memorial Park and Mausoleum,"US, MO, Affton",findagrave/1047,_subject
Holy Sepulchre Cemetery,"US, NY, Rochester",findagrave/1048,_subject
Oak Grove Cemetery,"US, NC, Maxton",findagrave/1049,_subject
Meadowridge Memorial Park,"US, MD, Elkridge",findagrave/1050,_subject
Woodlawn Cemetery,"US, IL, Clinton",findagrave/1051,_subject
Saltillo Cemetery,"US, PA, Saltillo",findagrave/1052,_subject
Blue Ridge Gardens of Memory Cemetery,"US, NC, Pisgah Forest",findagrave/1053,_subject
McDowell Memorial Park,"US, NC, East Marion",findagrave/1054,_subject
St. Joseph Cemetery,"US, OH, Cincinnati",findagrave/1055,_subject
Lakeview Cemetery,"US, MI, Nashville",findagrave/1056,_subject
Ashland Cemetery,"US, OH, Ashland",findagrave/1057,_subject
Little Prairie Cemetery,"US, MO, Caruthersville",findagrave/1058,_subject
Riverside Cemetery,"US, OH, Painesville",findagrave/1059,_subject
Forest Hill Cemetery,"US, PA, Dunmore",findagrave/1060,_subject
Burlington Plantation,"US, VA, King William County",findagrave/1061,_subject
Westminster Memorial Gardens,"US, PA, Carlisle",findagrave/1062,_subject
Holy Cross Cemetery,"US, NY, Brooklyn",findagrave/1063,_subject
Fairfax Cemetery,"US, AL, Valley",findagrave/1064,_subject
